scope	offset_or_func	role	confidence	evidence
allocator	00e83010	non_zeroing_scratch_allocator	high	015c0b60 allocates scratch through 00e83010; sibling 00e83020 is the alloc+bzero helper and is not used here
transform	014afb20_class8	mode0_exponential_smoothing_short_long	high	calls 015c1480 twice with ecx=0 widths 5*(rate/441) and 30*(rate/441); wrapper passes r8d=1 for reverse pass
transform	014afb20_class8	linked_successor_mask_protected_range	high	if next item has +0x40 selected peer zero current item mask tail from end-min(0.05*rate,floor((end-start)/3)) to current +0x28 converted to sample index
writer	014a3550	field34_field38_peak_gate_writer	high	updates a two-lane state with coefficient 0.5 over local buffer region and writes peak lane0 to +0x34 and peak lane1 to +0x38
implementation	014a3550	paired_peak_gate_kernel_clean_room	high	core_reconstruction implements only state=(state+samplePair)*0.5 and peak=max(peak,state) for +0x34/+0x38; full writer remains blocked by +0x2c/+0x30 naming
builder	01484bc0	synthetic_class1_peer_builder	high	class1 fallback calls 014ba9e0 with start=current.start xmm1=1.0f and esi=0x40 then inserts peer into auxiliary list
implementation	01484bc0_synthetic_peer	synthetic_class1_peer_helper_clean_room	high	core_reconstruction exposes make_synthetic_class1_peer(current) for the constructor subset only; list insertion and cleanup remain outside
constant	g_0239424c	class1_class2_local_max_gate_0_0f	very_high	__TEXT.__const bytes at 0x0239424c decode as float 0.0 used by 014a2170 ucomiss gate
constant	g_02391090	class8_contrast_gate_0_1f	very_high	__TEXT.__const bytes at 0x02391090 decode as float 0.100000001 used by 014afb20 contrast gate
constant	g_02390108	class8_mask_run_window_0_05_double	very_high	__TEXT.__const bytes at 0x02390108 decode as double 0.05 multiplied by sampleRate-like parameter
constant	g_0240e400	class8_contrast_window_0_0227_double	very_high	__TEXT.__const bytes at 0x0240e400 decode as double 0.0227 used for contrast buffer window
constant	g_0240f0f0	class8_window_normalizer_441_double	very_high	__TEXT.__const bytes at 0x0240f0f0 decode as double 441.0 used in param_1/g_0240f0f0
constant	g_02390140	float_abs_sign_mask	very_high	__TEXT.__const bytes at 0x02390140 decode as u32 0x7fffffff used for abs float in class8 moving contrast
constant	g_02394254	moving_contrast_scale_0_01f	very_high	__TEXT.__const bytes at 0x02394254 decode as float 0.00999999978 used to scale abs moving sum
constant	g_023945d0_0x23945d4	peak_gate_writer_half_coefficients	very_high	__TEXT.__const bytes at 0x023945d0..0x023945d4 decode as float 0.5 and 0.5 used by 014a3550 state=(state+samplePair)*0.5
constant	g_02390d2c	class8_threshold_sentinel_4_0f	very_high	__TEXT.__const bytes at 0x02390d2c decode as float 4.0 used as threshold/sentinel in contrast path
constant	g_0240e280_28c	class8_vector_thresholds_4_0f	very_high	__TEXT.__const bytes at 0x0240e280..0x0240e28c decode as four float 4.0 values loaded by movaps in contrast path
constant	g_023908d8	class8_smoothing_factor_5_0f	very_high	__TEXT.__const bytes at 0x023908d8 decode as float 5.0 used before 015c1480
constant	g_0241fd58	class8_smoothing_factor_30_0f	very_high	__TEXT.__const bytes at 0x0241fd58 decode as float 30.0 used before 015c1480
constant	g_02394274	float_min_guard	very_high	__TEXT.__const bytes at 0x02394274 decode as FLT_MIN 1.17549435e-38 used by 015c1480 and 015c0b60
constant	0x0241106c	exponential_smoother_minus_2_5f	very_high	__TEXT.__const bytes at 0x0241106c decode as float -2.5 used in expf(-2.5f/width)
constant	0x02411070	exponential_smoother_minus_2_5_double	very_high	__TEXT.__const bytes at 0x02411070 decode as double -2.5 used in -2.5/logf(alpha)
constant	g_0240e30c	max_search_low_sentinel_minus_1000f	very_high	__TEXT.__const bytes at 0x0240e30c decode as float -1000.0 used as low sentinel
constant	g_02394264	contrast_high_sentinel_10000f	very_high	__TEXT.__const bytes at 0x02394264 decode as float 10000.0 used as high sentinel/floor path
constant	0x02390124	synthetic_peer_strength_1_0f	very_high	__TEXT.__const bytes at 0x02390124 decode as float 1.0 used by 01484bc0 synthetic 0x40 peer
constant	g_023b1698	class12_preprocess_gain_minus_40f	very_high	__TEXT.__const bytes at 0x023b1698 decode as float -40.0 loaded before 015c2d90 in 014a2170
constant	g_02390120	class12_preprocess_shape_0_8f	very_high	__TEXT.__const bytes at 0x02390120 decode as float 0.8000000119 passed in xmm2 to 015c2d90 in 014a2170
constant	g_0239011c	class12_preprocess_half_0_5f	very_high	__TEXT.__const bytes at 0x0239011c decode as float 0.5 used for cutoff Nyquist clamp in 015c2da0
constant	g_02394288	class12_adaptive_cutoff_scale_0_3f	very_high	__TEXT.__const bytes at 0x02394288 decode as float 0.3000000119 used by 014a2170 before min 30 max 15 clamp
constant	g_023945a4	class12_adaptive_cutoff_floor_15f	very_high	__TEXT.__const bytes at 0x023945a4 decode as float 15.0 used by maxss after reference*0.3 clamp
constant	g_0241c3ec	class12_shared_baseline_cutoff_7f	very_high	__TEXT.__const bytes at 0x0241c3ec decode as float 7.0 loaded before the shared max-residual baseline filter
constant	g_02395718	class12_biquad_gain_exp10_divisor_40_double	very_high	__TEXT.__const bytes at 0x02395718 decode as double 40.0 used in exp10(gain/40)
constant	g_02411080	class12_biquad_two_pi_double	very_high	__TEXT.__const bytes at 0x02411080 decode as double 6.283185307179586 used for sin/cos cutoff angle
writer	014a3550	downstream_metric_writer	high	populates +0x28 +0x2c +0x30 +0x34 +0x38 on separation items
consumer	014a3900	adjacent_candidate_arbitration	high	reads +0x10 +0x18 +0x20 +0x28 +0x2c +0x34 +0x38 +0x3c
consumer	014a42b0	gap_weighted_selection	high	reads +0x10 +0x18 +0x20 +0x34 +0x38 +0x3c and treats class 8 specially
implementation	014a3900_014a42b0	interval_gate_subset_clean_room	high	core_reconstruction implements closed scalar/predicate pieces only: class-gap eligibility, third-neighbour guard, arbitration cost, max-field merge, flag OR, peak-gate predicate
field	+0x10	interval_start_double	very_high	set directly by 014ba9e0
field	+0x18	interval_end_double	very_high	initialized equal to start by 014ba9e0 and later updated downstream
field	+0x20	base_strength_or_gate_weight	high	set by 014ba9e0 from xmm1; builder origin is local run max for class 1/2 local contrast for class 8 and 1.0f for synthetic 0x40 peers
field	+0x28	score_like_scalar	high	written by 014a3550 and consumed by 014a3900 against target 1.0
field	+0x2c	secondary_scalar_margin_or_residual	medium	written by 014a3550 and multiplied in 014a3900
field	+0x30	local_ranking_or_contrast_weight	medium_high	written by 014a3550
field	+0x34	paired_local_smoothed_peak_gate_a	high	written by 014a3550 from peak lane0 of half-smoothed two-buffer state; max-merged in 014a3900 and OR-gated in 014a42b0
field	+0x38	paired_local_smoothed_peak_gate_b	high	written by 014a3550 from peak lane1 of half-smoothed two-buffer state; max-merged in 014a3900 and OR-gated in 014a42b0
field	+0x3c	class_state_flag_set	very_high	set by 014ba9e0 callsite values 1 2 8 0x10 0x40 observed across analyzer and mono builder paths
field	+0x40	selected_match_or_linked_peer_pointer	very_high	copied by 014ba950; 014af180 retains/stores winner and 01484bc0 consumes or synthesizes linked peers through this slot
