scope	target	role	confidence	evidence
constant	g_024120f4	tuning_transform_upper_bias	high	lldb memory read as float gives -10800.0; used in 017792c0 upper extrapolation
constant	g_0238fee8	sampled_mapper_nan_fallback_unity	high	lldb memory read as double gives 1.0; 013f6a10 selects this when sampled mapper eval returns NaN
constant	g_023942d0	sampled_mapper_midpoint_factor	high	lldb memory read as double gives 0.5; used by 013f6a80 midpoint branch in linear interpolation
class	MUPercussivePitchSystem	metadata_size_0x58	high	reconstructed metadata initializer sets class string MUPercussivePitchSystem with size 0x58; therefore +0x78/+0x80/+0x88 bridge accesses are not direct fields of this base class
class	MUScalePitchSystem	metadata_size_0x78	high	reconstructed metadata initializer sets class string MUScalePitchSystem with size 0x78; +0x78 is already at the boundary and +0x80/+0x88 require a derived or payload node owner
bridge	012f0b60_to_MUPercussivePitchSystem	lss_payload_to_pitch_system_propagation	medium_high	012f0b60 calls 01516650, 01516720, 01519670 and 0150ddd0 after LSS aggregation passes
function	011a6790	muscale_pitch_system_constructor_suggested_relevance_flags	medium_high	constructor registers class string MUScalePitchSystem, metadata size 0x78, property names _tuningIsSuggestedRelevant,_modeIsSuggestedRelevant,_tuningPitchAnchorIsSuggestedRelevant,_modeFundamentalOffsetIsSuggestedRelevant,_stretchingIsSuggestedRelevant and initializes +0x58..+0x5c
function	0091ac08	muscale_pitch_system_deserializer_sets_suggested_relevance_flags	medium_high	serialized switch cases 1..5 set this+0x58,+0x59,+0x5a,+0x5b,+0x5c respectively when expected field type is present
function	01516650	preflight_plus_range_wrapper	high	direct disassembly 0x01516650-0x01516720 shows 202-byte wrapper that calls 01514480 then 01515040 and returns 01515040 result OR preserved flag byte
function	01514480	plus78_preflight_alignment	medium_high	resolves +0x78 through parent +0x50, uses 01822e80 and 00d51e10, may update through 00d51d20/0150d0b0 and 0124ae90/018232b0/018232c0
function	01515040	range_reconciliation_bridge_plus80	medium_high	resolves payload-node +0x80 through parent +0x50, allocates via 0124b580, iterates 01252960, maps endpoints via 01514120, inserts/updates with 012502a0/01254260/012549c0 and state helpers 0124ae30/0124ae40
function	01519670	scalar_difference_split_clone_gate	medium_high	resolves +0x78 via parent +0x50, reads two scalars via 01822e80/01773e80 or 01773e50, gates on abs diff >= 0.001, allocates clone and propagates scalar through 01767a10
function	01773e50	standard_pitch_offset_cents	high	formula logf(standardPitchHz * 0.122312203) * 1731.23401 - 6899.99951; 017737b0 fallback is 440 Hz, giving about 0 cents
function	01773e80	selected_pitch_offset_cents	high	calls 01773fe0(this,69,null), converts absolute cents through exp2f(cent/1200)*8.17579936 then back to cents offset with -6899.99951
function	01773fe0	absolute_pitch_cent_selector	high	calls 01774880 for target index, linearly interpolates if no candidate, returns exact value if one candidate, averages multi-candidate values and selects entry nearest to the average
function	01774880	target_pitch_candidate_run_collector	high	disassembly shows outListWrapper,pitchTable,targetIndex,outLowerIndex ABI; computes probe via 01774c90(pitchTable,0)+pitchTable+0x64*-100+01774c90(default,target), finds nearest index with 01774ef0, then collects contiguous indices whose 01774300 key equals targetIndex
function	01774c90	pitch_table_cent_value_accessor	high	uses pitchTable+0x48 index shift, +0x50 child list, +0x60 base cents, child+0x38 float, and 100-cent extrapolation or wrap logic
function	01774300	pitch_table_integer_key_accessor	high	uses pitchTable+0x48 index shift, +0x50 child list, +0x64 key offset, child+0x3c int, and same clamp/wrap family as 01774c90
function	01774b50	transformed_pitch_table_value_accessor	medium_high	calls 01774c90 and, when pitchTable+0x68 exists, applies 017792c0 before returning the scalar
function	01774ef0	nearest_pitch_table_index_search	high	expands bounds around probe scalar and binary-searches 01774c90 values; normal mode uses vtable+0x370/+0x378 bounds, alternate mode uses -1000/1000
function	01779ec0	child_cent_float_getter_plus38	high	disassembly returns movss 0x38(%rdi), xmm0
function	01779f30	child_integer_key_getter_plus3c	high	disassembly returns movl 0x3c(%rdi), eax
function	017792c0	bounded_tuning_lookup_extrapolator	high	returns input unchanged when mapper+0x48 is null; otherwise calls sampled mapper vtable+0x380 inside 1200..10800 cents and linearly extrapolates below/above using one-cent endpoint slopes
function	017794e0	dynamic_domain_inverse_mapping_lookup_extrapolator	high	returns input unchanged when mapper+0x50 is null; otherwise calls sampled mapper vtable+0x380 inside this+0x58..this+0x5c and extrapolates using 1200/1201 and 10800/10799 endpoint slopes
function	017770f0	muscalestretching_transform_constructor_property_registration	high	constructor initializes MUScaleStretching transform fields and registers _tuning/_stretching, _stretchingFunction, _mappingFunction, _inverseMappingFunction, _lowestStretchedPitch, _highestStretchedPitch, and _didRequestCacheValidation
function	0176d660	scale_tuning_like_pitch_table_constructor	medium_high	constructs vtable g_025ff2a8 object with strings _isCyclic,_rootIndex,_tuning,_scaleTuning,_tuningPitchAnchor,_westernStandardPitchIndexAnchor and registers +0x50 as MUScaleTuningInterval, +0x58 as MUScaleTuningSequence, +0x68 as MUScaleStretching
function	0176e1e0	stretching_property_descriptor_builder	high	builds property descriptor with internal name _stretching; callsite 0176d87d uses it for field +0x68 and type MUScaleStretching
function	0173a570	owner_constructor_calls_stretching_registration	medium_high	calls 0176d660 during owner object construction and then calls 0176ed20 default/static initializer path
function	0176ed30	default_muscalestretching_initializer	medium_high	default/global initializer path calls 017770f0 at 0176ed9f to build a MUScaleStretching instance
function	011a7e10	muscale_tuning_interval_constructor	medium_high	constructs vtable g_025ffd60 child interval object; string refs and registration path cover _cent, _westernStandardPitchIndexOffset and _intervals with type string MUScaleTuning
function	000bea40	sampled_data_point_function_constructor	high	allocates 0x60-byte mapper object; final vtable base observed at 0x25dd6d0 with eval and point-insert slots used by 017792c0/01778a40/01778fe0
function	013f4740	sampled_mapper_insert_point	high	vtable+0x418 method; writes input x to point+0x38 and y to point+0x40, links the point into mapper+0x48, and returns a retained point wrapper
function	013f6a10	sampled_mapper_public_eval	high	vtable+0x380 method; initializes index hint to -1, calls eval forwarding slot, and returns 1.0 if the result is NaN
function	013f6a60	sampled_mapper_eval_non_extrapolating_forwarder	high	vtable+0x3b8 method; forwards to vtable+0x3d8 with extrapolate flag cleared
function	013f6a80	sampled_mapper_piecewise_linear_eval	high	vtable+0x3d8 method; evaluates mapper+0x48 point list with endpoint clamp when extrapolate is false, optional index-hint scan, fallback finder 013f3690, and linear interpolation between bracketing points
function	01778610	tuning_mapper_lazy_initializer	medium_high	builds/stores mapper+0x48 via 01778a40 and mapper+0x50 via 01778fe0, calls mapper vtable+0x378, and caches domain bounds in this+0x58/+0x5c
function	01778a40	tuning_mapper_10_cent_resampler	medium_high	reads source bounds through 013f2b00/013faed0, samples source mapper vtable+0x380 every 10 cents, and inserts sampled points into a new FUN_000bea40 via vtable+0x418
function	01778fe0	tuning_mapper_offset_point_builder	medium_high	iterates source points from 013f2b00, reads x/base via 013faed0 and offset via 013faf20, and inserts x,base+offset into a new FUN_000bea40 via vtable+0x418
function	01777f70	flat_3_point_zero_stretch_mapper_builder	high	creates FUN_000bea40 and inserts verified points (1200,0),(6900,0),(10800,0) via vtable+0x418; direct controller callsites include 01b42a07 and 01b4368a
function	017780f0	fixed_10_point_sampled_mapper_builder	high	creates FUN_000bea40 and inserts verified points (1200,-40),(2100,-17.5),(3300,-7),(4500,-3.5),(5700,-1.7),(6900,0),(8100,1.7),(9300,5.5),(10500,18),(10800,30) via vtable+0x418; direct controller callsite 01b4377a closes it as handleSetStandardFunction fixed standard stretch payload
function	01b42190	stretch_tuning_controller_action_registration	high	registers MUScaleStretchTuningCtrl actions handleReset, handleSetStandardFunction, and handleSetVerticalRange with dispatch thunk 01b43b90
function	01b43b90	stretch_tuning_action_pointer_to_member_thunk	high	common thunk resolves virtual pointer-to-member immediates by low-bit test and vtable lookup at imm-1 before calling the action body
table	026483f0	stretch_tuning_controller_vtable_action_entries	high	constructor 01b43c20 installs vtable 0x026483f0; entries +0x5d8/+0x5e0/+0x5e8 point to 01b43670/01b43760/01b43850 matching action immediates 0x5d9/0x5e1/0x5e9
function	01b43670	handleReset_set_flat_zero_function	high	handleReset dispatch payload calls 01777f70 and passes the resulting source function to 01b43dc0; returns true after update
function	01b43760	handleSetStandardFunction_set_fixed_standard_function	high	handleSetStandardFunction dispatch payload calls 017780f0 and passes the resulting source function to 01b43dc0; returns true after update
function	01b43850	handleSetVerticalRange_dispatch_payload	high	handleSetVerticalRange dispatch payload resolves selected float and calls 01b43f40 on controller+0xa0
function	01b43d80	stretch_tuning_controller_source_getter	high	direct getter returns retained controller+0x140 source function reference
function	01b43dc0	stretch_tuning_controller_source_setter_rebuild_cache	high	sets controller+0x140 source, rebuilds controller+0x148 sampled mapper via 01778a40, and invalidates/redraws through vtable+0x620
function	01b43f40	stretch_tuning_controller_vertical_range_setter	high	writes float controller+0x150 when changed and invalidates/redraws through vtable+0x620
function	01b43fc0	stretching_function_curve_renderer_and_point_overlay	medium_high	MUScaleStretchTuningCtrl uses controller+0x140 source, builds sampled mapper via 01778a40, evaluates vtable+0x380 across horizontal screen range, and renders source point markers from 013f2b00
function	01b468c0	stretching_function_ui_point_insert	medium_high	finds insertion index with 013f3690(x), rejects too-close neighbours by minDistance, creates point, sets x/y with 013fae90/013faee0, inserts with 013f2cf0, and rebuilds mapping/inverse via 01778a40/01778fe0
function	01b47100	stretching_function_ui_point_drag_update	medium_high	iterates source points from 013f2b00, updates selected point coordinates with 013fae90(oldX+dx) and 013faee0(oldY+dy), and rebuilds controller mapper caches
function	019f8880	scale_pitch_system_like_setter_plus78	medium_high	retained-reference setter for this+0x78; compares against *arg1, releases old ref, stores new ref, and uses this+0x10 with 00cbadd0/00cbad80 for detach/attach bookkeeping
function	019f8cb0	scale_pitch_system_like_setter_plus70	medium_high	same retained-reference setter shape as 019f8880 but for this+0x70
function	019f90e0	scale_pitch_system_like_setter_plus80	medium_high	same retained-reference setter shape as 019f8880 but for this+0x80
function	019f81d0	scale_pitch_system_like_refresh_from_plus68	medium_high	when this+0x68 exists, reads three source refs via 01510280/01510030/0150eb60 and calls setters 019f8880/019f8cb0/019f90e0
function	01525150	scale_pitch_system_like_lookup_cache_builder	medium_high	builds four g_025683c0 cache/list objects and installs them at this+0x60,+0x68,+0x78,+0x80 from source lists this+0x48 and this+0x50
function	01525c50	scale_pitch_system_like_cache_builder_child_x38	medium_high	builds index lookup cache from child+0x38 double coordinate and integer step this+0x58
function	01525fb0	scale_pitch_system_like_cache_builder_child_x40	medium_high	builds index lookup cache from child+0x40 double coordinate, 01524a20/01524a10 span helpers, and integer step this+0x70
function	013fae90	data_point_x_setter	high	used by MUScaleStretchTuningCtrl and data-point function constructors to write point x coordinate; paired with getter 013faed0
function	013faee0	data_point_y_setter	high	used by MUScaleStretchTuningCtrl and data-point function constructors to write point y coordinate; paired with getter 013faf20
function	013f2b00	data_point_function_point_list_accessor	high	used by mapper builders and MUScaleStretchTuningCtrl to access the underlying point list/count
function	013f3690	data_point_function_x_index_finder	high	used by 013f6a80 and UI insert path to find the lower/nearest point index for an x coordinate
function	013f2cf0	data_point_function_insert_existing_point	medium_high	UI insert path creates a point, writes x/y, then calls 013f2cf0 to attach it to the source function
function	013f3080	data_point_function_empty_or_invalid_cleanup	medium	called by UI insert/rebuild paths when rebuilt function validation fails; exact remove/reset semantics remain prudently named
function	017380d0	pitch_index_offset_alignment_bridge	high	copies two source refs, computes delta through 01738120, and applies nonzero delta to destination through 01738020
function	01738120	pitch_index_offset_delta	high	reads source+0x64 through 017702f0 for each non-null source, defaults null source to 60, and returns valueB-valueA
function	01738020	wrapped_pitch_index_offset_adder	high	adds delta to dest+0x6c; if dest+0x40 and dest+0x58 list are present, wraps by list count around a centered range before writing
function	017702f0	western_standard_pitch_index_anchor_getter_plus64	high	disassembly returns movl 0x64(%rdi), eax; 0176d660 string/register order binds this slot to _westernStandardPitchIndexAnchor in the MUScaleTuning-like owner
function	01767a10	add_or_set_cent_offset_on_child_store	medium_high	resolves child at this+0x60, reads object+0x60 via 01770220, optionally quantizes current value on 100-cent grid, writes current+delta via 01770230
function	01770220	raw_cent_float_getter_plus60	high	disassembly returns movss 0x60(%rdi), xmm0
function	01770230	raw_cent_float_setter_plus60	high	disassembly compares and writes movss xmm0 to 0x60(%rdi) with write notifications
function	01252960	range_segment_iterator	high	uses iterator state -1 init and -2 end, reads segment structure from this+0x48 and payloads from this+0x50, emits selected object and range key
function	01514120	endpoint_range_adapter_three_branch	medium_high	maps time/range-like input through branch 0/1/2 using 016cb690/016cb5f0/016cb9d0 or 016cb1a0/016cb070/00e7cd00
function	01516720	range_reconciliation_bridge	medium_high	allocates output object, resolves payload-node +0x88 along parent +0x50, iterates 01252960, maps endpoints via 01514120, checks presence with 01254260, inserts missing ranges via 012549c0 flag 1, and advances +0x88 state through 018847e0 when 018847d0 state is below target
function	0150bf50	plus80_store_builder_and_plus78_preflight_updater	medium_high	ensures this+0x80 via 00e8fc40->0124b580 and 0150ceb0, inserts with 012502a0 flag 1, writes +0x80 state via 0124ae40, then ensures +0x78 via 0151f500/0150d0b0 and writes state via 018232c0
function	01511080	plus78_plus80_state_compatibility_gate	medium_high	resolves source and destination +0x78/+0x80 along +0x50, compares +0x78 state through 018232b0 and +0x80 state through 0124ae30, then re-enters 012cb110->012e7210 and list homogeneity checks when needed
function	015104e0	plus80_query_cache_builder_plus90	medium_high	requires this+0x78 and this+0x80, ensures this+0x90 via 0151fdc0, iterates 01252960, materializes g_025fee18 segment objects, links scalar/source through 0173b670/0173b680/01822e80/0173b720/015220b0 and sets dirty flag this+0xa1
function	01510b20	plus80_query_adapter_plus90	medium_high	climbs +0x50 until +0x78/+0x80 exist, forces 015104e0 when this+0xa1 dirty flag requires cache rebuild, then queries +0x90 via 01252670 or 012521f0 depending on input range shape
function	015200c0	g025fee18_payload_constructor	medium_high	calls 010ed760, installs vtable g_025fee18, calls 01520520/01520810, initializes internal slots around +0x68/+0x70 and registers property builders 01520b00/01520c70/01520de0/01520f50; builder definitions are not split in clean dump
function	014fdd70	g025fee18_default_scale_pitch_payload_builder	medium	allocates g_025fee18, builds g_025ffd60 interval children through 01779ed0/01779f40/0176fde0, builds g_025fe670 companion objects, and finalizes a scalar cent-like value through 01770230
function	0173c410	g025fee18_payload_reference_copy_builder	medium	allocates g_025fee18 and copies references into payload slots +0x58 and +0x60 through 017354e0 and 0176f970 paths
function	0173c840	g025fee18_even_interval_payload_builder	medium	allocates g_025fee18, builds evenly distributed g_025ffd60 interval children from param_2, assigns linked refs, then drives scalar value through the linked object via 01770230
function	0173d440	g025fee18_bidirectional_interval_payload_builder	medium	allocates g_025fee18, builds positive and negative interval children around zero, assigns reference slots +0x58/+0x60, then drives scalar value through the linked object via 01770230
function	01512000	plus88_state_compatibility_gate	medium_high	resolves source and destination +0x88 stores along +0x50, reads state via 018847d0, and when incompatible re-enters 012cb110->012e7210 before checking list homogeneity through 01264240
function	0151a240	plus88_nested_segment_reconciler	medium_high	requires this+0x68, resolves +0x88 store, iterates 01252960 segments, materializes per-segment objects through opaque helpers 01531ce0/01531d40/01531da0/01531df0, then selects homogeneous nested item candidates through vtable+0x50 comparisons
function	0150aa70	plus88_store_builder_variant	medium	starts from _pitchSystem context with MU12TETPitchSystem/MUPercussivePitchSystem/MUScalePitchSystem fallbacks, can build default g_025fee18 payload through 014fdd70/0173c6e0, calls 0150bf50 for +0x80 path, then when this+0x58 exists builds 0111d0d0 +0x88 store from 01252960 and writes state via 018847e0
function	0150f7e0	plus88_dirty_refresh_orchestrator	medium	if this+0xa2 dirty flag is set, clears it and invalidates via vtable+0x380, materializes list via 0151a950, normalizes items with 012eb770/012f9ac0/012ed0d0, calls 0151a240, propagates via 012f51f0 and vtable+0x370, then recurses through child list this_ptr[9]
function	00154c40	plus88_lss_list_propagation_consumer	medium	when this+0x88 exists, walks 012e5ae0 and nested 01265b80 lists, processes each item with 011ef640/00155200 and finalizes each nested group with 0015edf0
function	0150ddd0	candidate_materialization_normalization_pass	medium_high	resolves +0x78, iterates input list, materializes g_025ecd90 and 0117a3f0 objects, applies 01508860/0150d3a0/0125dfa0/01773f20/01508220/0152dc80/0150d720
function	01bab160	pitch_inspector_selection_metric_aggregator	medium_high	calls MUElementPitchInspector collector 01ba9e60, iterates selected/nested candidates, computes uniform integer pitch/index via 01507f00 or 0125dfa0+vtable+0x3a8, computes absolute cent-like and delta cent-like ranges through 0125a2c0/0152e000, and writes single-value UI outputs only when min/max agree
function	01ba9e60	mu_element_pitch_inspector_selection_collector	medium_high	clean dump classifies this as MUElementPitchInspector with _noteNameField/_centOffsetField/_frequencyField/_savedPitchIndexes/_pitchOffsetFormatter/_frequencyFormatter; used by 01bab160 before metric aggregation
metric	selection_int_index_uniformity	min_equals_max_required	medium_high	01bab160 initializes min/max with 0x7fffffff and -0x80000000, updates with iVar12, and only builds note output through 01ba9920 when minIndex equals maxIndex
metric	selection_cent_delta_uniformity	min_equals_max_required	medium_high	01bab160 computes delta as 0125a2c0 minus 0152e000, tracks min/max with g_02391078/g_02391074 sentinels, and writes output via vtable+0x378 only when minDelta equals maxDelta
metric	selection_absolute_cent_to_hz_uniformity	min_equals_max_required	medium_high	01bab160 tracks absolute cent-like value from 0125a2c0 and, only when minAbs equals maxAbs, writes frequency as exp2f(cents*g_023941f4)*g_023941f8 via vtable+0x378
field	pitch_system_payload_node+0x50	parent_or_inherited_context_link	medium_high	01519670, 0150ddd0, 01515040 and 01516720 climb +0x50 until +0x78, +0x80 or +0x88 is found
field	pitch_system_payload_node+0x78	scalar_source_anchor	medium_high	01519670 and 0150ddd0 resolve +0x78 then pass through 01822e80 before scalar operations; not promoted as a direct MUPercussivePitchSystem field because base metadata size is 0x58
field	pitch_system_payload_node+0x80	scalar_linked_segment_store_anchor_variant_a	medium_high	01515040 resolves +0x80 along parent +0x50, allocates 0124b580 store family and uses 0124ae30/0124ae40; 0150bf50/01511080/015104e0 show this family is coupled to +0x78 and derived query cache +0x90
field	pitch_system_payload_node+0x88	percussive_segment_store_anchor_variant_b	medium_high	01516720 repeatedly resolves +0x88 along parent +0x50, allocates 0111d0d0 store family and uses 018847d0/018847e0; 01512000/0151a240/0150f7e0/00154c40 consume the same family but semantic musical name remains open
vocabulary	range_store_candidate_names_unbound	candidate_only	medium	strings _noiseRanges, _detectedRanges, _vibratoRanges, _rangesByAudioSourceItem, _audioSourcePrincipalItems, _audioSourceSibilantItems and _audioSourcePotentialItems exist but are not bound to payload-node +0x80/+0x88; current evidence places _rangesByAudioSourceItem under MUElementAnalyzerEngineStaticTables, _noiseRanges under MUTimeSliceParameterBuffer, and audioSource*Items in timeline/audio-source property context, while 01323a40 references _audioSourceSibilantItems only through property/vtable accessors
field	anchor_object+0x38	scalar_child_extracted_by_01822e80	high	01822e80 copies and retains anchor+0x38 into output wrapper
field	cent_store_object+0x60	cent_offset_float	high	01770220/01770230 directly get/set float at +0x60; 01767a10 adds cent deltas to this field
field	range_store_object+0x68	range_state_count_int	high	0124ae30/0124ae40 and 018847d0/018847e0 are get/set pairs over int at +0x68
field	preflight_store_object+0x48	preflight_state_int	high	018232b0/018232c0 are get/set pair over int at +0x48
field	MUScalePitchSystem+0x58	tuning_is_suggested_relevant_flag	medium_high	011a6790 property order and initialization plus 0091ac08 case 1 set this slot; do not confuse with scale_pitch_system_like_node+0x58 cache step in a different owner context
field	MUScalePitchSystem+0x59	mode_is_suggested_relevant_flag	medium_high	011a6790 property order and initialization plus 0091ac08 case 2 set this slot
field	MUScalePitchSystem+0x5a	tuning_pitch_anchor_is_suggested_relevant_flag	medium_high	011a6790 property order and initialization plus 0091ac08 case 3 set this slot
field	MUScalePitchSystem+0x5b	mode_fundamental_offset_is_suggested_relevant_flag	medium_high	011a6790 property order and initialization plus 0091ac08 case 4 set this slot
field	MUScalePitchSystem+0x5c	stretching_is_suggested_relevant_flag	medium_high	011a6790 property order and initialization plus 0091ac08 case 5 set this slot
field	pitch_table+0x38	is_cyclic_flag	medium_high	01774c90 and 01774300 branch on this byte for wrap vs clamp behavior; 0176d660 string/register order includes _isCyclic for the same owner
field	pitch_table+0x48	root_index_shift	medium_high	01774c90 and 01774300 add this to the requested index before child lookup; 0176d660 string/register order includes _rootIndex
field	pitch_table+0x50	tuning_interval_list_or_anchor	medium_high	01774c90 and 01774300 dereference this as list-like storage of child interval objects; 0176d660 registers this slot with name _tuning and type string MUScaleTuningInterval
field	pitch_table+0x58	scale_tuning_sequence_ref	medium	0176d660 registers this slot with name _scaleTuning and type string MUScaleTuningSequence; not directly consumed by 01774880 path
field	pitch_table+0x60	tuning_pitch_anchor_cent_float	high	01774c90 adds this float before child scalar and wrap/extrapolation terms; 01770220/01770230 get/set the same slot and 0176d660 string/register order includes _tuningPitchAnchor
field	pitch_table+0x64	western_standard_pitch_index_anchor	medium_high	01774300 adds this to child integer keys; 01774880 multiplies it by -100.0 in probeCent formula; 0176d660 string/register order includes _westernStandardPitchIndexAnchor
field	pitch_table+0x68	stretching_transform_ref	medium_high	01774b50 checks this pointer and calls 017792c0 when present; 0176d660 registers this slot with type string MUScaleStretching
field	pitch_table_child+0x38	muscale_tuning_interval_cent	high	01779ec0 direct getter; consumed by 01774c90; 011a7e10 constructor/register path names this child field _cent
field	pitch_table_child+0x3c	muscale_tuning_interval_western_standard_pitch_index_offset	high	01779f30 direct getter; consumed by 01774300; 011a7e10 constructor/register path names this child field _westernStandardPitchIndexOffset
field	pitch_table_child+0x40	muscale_tuning_interval_intervals_ref	medium	011a7e10 registers this child slot as _intervals with type string MUScaleTuning; role outside constructor path remains open
field	scale_tuning_transform+0x38	tuning_or_stretching_object	high	017770f0 initializes this slot before registering property builder 01777580; builder name is _tuning while constructor registers _stretching as MUScaleTuning
field	scale_tuning_transform+0x40	stretching_function_source	high	01777670 property builder names _stretchingFunction; 01778610 requires this field non-null before rebuilding mapping caches
field	scale_tuning_transform+0x48	mapping_function_cache	high	01777760 property builder names _mappingFunction; 01778610 stores the 01778a40-built mapper here and 017792c0 evaluates it
field	scale_tuning_transform+0x50	inverse_mapping_function_cache	high	01777850 property builder names _inverseMappingFunction; 01778610 stores the 01778fe0-built mapper here and 017794e0 evaluates it
field	scale_tuning_transform+0x58	lowest_stretched_pitch	high	017770f0 registers _lowestStretchedPitch as float; 01778610 writes derived lower bound and 017794e0 uses it as dynamic lower gate
field	scale_tuning_transform+0x5c	highest_stretched_pitch	high	017770f0 registers _highestStretchedPitch as float; 01778610 writes derived upper bound and 017794e0 uses it as dynamic upper gate
field	scale_tuning_transform+0x60	did_request_cache_validation	high	017770f0 registers _didRequestCacheValidation as bool; 017792c0 and 017794e0 check it to trigger lazy cache rebuild through vtable+0x1a0
field	sampled_mapper+0x48	point_list	high	013f6a80 reads point count/list here; 013f4740 links inserted points here
field	sampled_mapper_point+0x38	point_x	high	013faed0 direct getter returns this double; 013f4740 writes input x here
field	sampled_mapper_point+0x40	point_y	high	013faf20 direct getter returns this double; 013f4740 writes input y here
field	sampled_mapper_point+0x58	point_owner_or_backref	medium	013faf40 updates this reference during point insertion; exact owner semantics remain prudently unnamed
field	scale_tuning_like_object+0x68	stretching_object_reference	medium_high	0176d660 zeroes this field and registers it through descriptor 0176e1e0 with type string MUScaleStretching; same slot is consumed by 01774b50 as optional transform reference
field	offset_aligner_dest+0x40	wrap_enable_flag	medium_high	01738020 checks this flag before wrapping dest+0x6c
field	offset_aligner_dest+0x58	wrap_count_list	medium_high	01738020 reads list+0x0c count from this pointer when wrap flag is enabled
field	offset_aligner_dest+0x6c	integer_offset_accumulator	high	01738020 adds delta and writes the resulting int here with notification
field	scale_pitch_system_like_node+0x48	forward_source_list_for_cache_builder	medium	01525150 iterates this+0x48 to build cache objects later installed at +0x60 and +0x78
field	scale_pitch_system_like_node+0x50	reverse_or_parallel_source_list_for_cache_builder	medium	01525150 iterates this+0x50 to build cache objects later installed at +0x68 and +0x80
field	scale_pitch_system_like_node+0x58	x38_cache_step_int	medium_high	01525c50 multiplies generated index buckets by *(int *)(this+0x58) while sampling child+0x38 coordinates
field	scale_pitch_system_like_node+0x70	retained_reference_slot_and_x40_cache_step	medium	019f8cb0 treats this+0x70 as retained-reference slot, while 01525fb0 reads this+0x70 as integer step in a cache-builder context; owner/type identity still needs reconciliation
field	scale_pitch_system_like_node+0x78	retained_reference_or_cache_slot	medium	019f8880 treats this+0x78 as retained-reference slot and 01525150 can install a g_025683c0 cache object here; do not promote to musical name yet
field	scale_pitch_system_like_node+0x80	retained_reference_or_cache_slot	medium	019f90e0 treats this+0x80 as retained-reference slot and 01525150 can install a g_025683c0 cache object here; adjacent to bridge plus80 but semantic identity remains open
field	percussive_segment_store+0x68	state_count_int	high	018847d0/018847e0 read and write the int state/count at object+0x68 for the +0x88 store family
field	pitch_system_payload_node+0x90	plus80_g025fee18_derived_query_cache	medium_high	015104e0 creates this cache with 0151fdc0 when +0x78/+0x80 exist, inserts derived g_025fee18 pitch/scale-query payload objects, and 01510b20 queries it through 01252670/012521f0; not a raw detector range store
field	g025fee18_payload+0x58	reference_slot_from_017354e0	medium	0173c410 and 0173d440 store the object returned through the 017354e0 path here; exact semantic name remains open
field	g025fee18_payload+0x60	reference_slot_from_0176f970_and_scalar_target_ref	medium	0173c410 stores the object returned through 0176f970 here; 0173c840/0173d440 later dereference this linked object before 01770230 scalar writes, so treat +0x60 as reference slot, not a proven scalar field
field	g025fee18_payload+0x68_0x70	constructor_initialized_slots	medium	015200c0 initializes slots around +0x68/+0x70 and registers property builders, but builder definitions/names are not available in split clean dump
